cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,clock_digital.started,direction_txt.started,key_resp.started,clock_digital.stopped,direction_txt.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
2,17,53,右下,0,2,2,0,2,0,0,9,9,3,,,,,,,,,,,,,,,37,178.6935134,178.7937035,178.7937035,181.1870549,181.1870549,181.1870549,1,2,1,1.489,None,,,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.1870549,211.1420339,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,11,50,右上,0,2,3,0,3,0,0,0,0,4,,,,,,,,,,,211.1420339,213.1365363,213.1365363,213.640351,44,213.640351,213.7354674,213.7354674,216.1288269,216.1288269,216.1288269,1,2,1,1.162629,None,216.1288269,216.6275263,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,17,29,左下,0,2,3,0,3,0,0,1,1,6,,,,,,,,,,,,,,,41,216.6275263,216.7270481,216.7270481,219.1209695,219.1209695,219.1209695,1,2,1,1.4670199,None,219.1209695,219.6196784,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,16,23,右下,1,1,3,0,3,0,0,2,2,5,,,,,,,,,,,,,,,32,219.6196784,219.7195932,219.7195932,222.1133886,222.1133886,222.1133886,0,2,0,1.4580206,None,222.1133886,222.6115376,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,11,40,右下,0,2,3,0,3,0,0,3,3,7,,,,,,,,,,,,,,,43,222.6115376,222.7116917,222.7116917,225.1049884,225.1049884,225.1049884,1,2,1,1.2351104,None,225.1049884,225.6039519,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,16,6,右上,1,1,3,0,3,0,0,4,4,1,,,,,,,,,,,,,,,76,225.6039519,225.7035847,225.7035847,228.0974438,228.0974438,228.0974438,1,1,1,0.8311786,None,228.0974438,228.5959189,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,19,17,左上,0,2,3,0,3,0,0,5,5,9,,,,,,,,,,,,,,,18,228.5959189,228.6956599,228.6956599,231.0893429,231.0893429,231.0893429,1,2,1,1.1043922,None,231.0893429,231.5883971,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,19,55,右下,0,2,3,0,3,0,0,6,6,8,,,,,,,,,,,,,,,66,231.5883971,231.687962,231.687962,234.0819631,234.0819631,234.0819631,1,2,1,1.6942158,None,234.0819631,234.580479,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,16,36,左下,1,1,3,0,3,0,0,7,7,3,,,,,,,,,,,,,,,54,234.580479,234.6800558,234.6800558,237.0739268,237.0739268,237.0739268,1,1,1,2.0963682,None,237.0739268,237.5728066,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
